wordle_num,rounds,count
179,2,8
179,3,17
179,4,9
179,5,3
179,6,1
180,1,4
180,2,7
180,3,72
180,4,95
180,5,59
180,6,25
180,X,5
181,1,6
181,2,57
181,3,177
181,4,173
181,5,86
181,6,21
181,X,4
182,1,4
182,2,33
182,3,215
182,4,243
182,5,93
182,6,29
182,X,9
183,1,1
183,2,50
183,3,251
183,4,265
183,5,119
183,6,37
183,X,2
184,1,8
184,2,86
184,3,224
184,4,253
184,5,181
184,6,117
184,X,24
185,1,7
185,2,58
185,3,469
185,4,596
185,5,186
185,6,40
185,X,2
186,1,10
186,2,54
186,3,214
186,4,371
186,5,454
186,6,329
186,X,130
187,1,18
187,2,222
187,3,1039
187,4,1187
187,5,608
187,6,253
187,X,31
188,1,56
188,2,332
188,3,851
188,4,986
188,5,564
188,6,196
188,X,20
189,1,12
189,2,116
189,3,988
189,4,1493
189,5,502
189,6,162
189,X,23
190,1,20
190,2,225
190,3,1196
190,4,1486
190,5,813
190,6,310
190,X,42
191,1,32
191,2,156
191,3,526
191,4,1004
191,5,1199
191,6,1186
191,X,389
192,1,34
192,2,528
192,3,2131
192,4,2227
192,5,1212
192,6,434
192,X,56
193,1,33
193,2,1211
193,3,4313
193,4,3203
193,5,1197
193,6,391
193,X,43
194,1,46
194,2,976
194,3,3967
194,4,3726
194,5,1824
194,6,674
194,X,83
195,1,28
195,2,193
195,3,1960
195,4,4593
195,5,3528
195,6,1360
195,X,94
196,1,32
196,2,324
196,3,2302
196,4,4402
196,5,3724
196,6,2212
196,X,406
197,1,77
197,2,966
197,3,4877
197,4,7702
197,5,4290
197,6,1443
197,X,132
198,1,111
198,2,1257
198,3,7180
198,4,8895
198,5,5769
198,6,2744
198,X,466
199,1,155
199,2,813
199,3,4792
199,4,8508
199,5,8590
199,6,5457
199,X,899
200,1,523
200,2,5200
200,3,14137
200,4,15886
200,5,10806
200,6,5687
200,X,952
201,1,293
201,2,1580
201,3,10116
201,4,19565
201,5,16735
201,6,8274
201,X,1014
202,1,416
202,2,2587
202,3,19551
202,4,32367
202,5,19652
202,6,7210
202,X,880
203,1,553
203,2,4712
203,3,22717
203,4,29656
203,5,23549
203,6,13174
203,X,2309
204,1,473
204,2,2334
204,3,11859
204,4,23555
204,5,26463
204,6,19146
204,X,3491
205,1,1144
205,2,3732
205,3,16313
205,4,30741
205,5,30137
205,6,17543
205,X,2136
206,1,1356
206,2,12832
206,3,51412
206,4,49797
206,5,22564
206,6,7239
206,X,891
207,1,1335
207,2,5484
207,3,19934
207,4,34010
207,5,37925
207,6,27176
207,X,4981
208,1,738
208,2,2875
208,3,16495
208,4,36665
208,5,39469
208,6,25402
208,X,3825
209,1,859
209,2,7256
209,3,34087
209,4,48735
209,5,37133
209,6,23569
209,X,7204
210,1,1770
210,2,18316
210,3,68165
210,4,66980
210,5,30482
210,6,9755
210,X,1124
211,1,1306
211,2,17199
211,3,63522
211,4,63772
211,5,35289
211,6,14046
211,X,2022
212,1,1146
212,2,17295
212,3,68335
212,4,67541
212,5,37346
212,6,16171
212,X,3140
213,1,1181
213,2,3497
213,3,23266
213,4,51571
213,5,64584
213,6,54235
213,X,12169
214,1,3858
214,2,44277
214,3,99917
214,4,75847
214,5,32439
214,6,10583
214,X,1717
215,1,1656
215,2,18930
215,3,68504
215,4,78875
215,5,45719
215,6,18029
215,X,2480
216,1,2377
216,2,22021
216,3,80538
216,4,87049
216,5,48584
216,6,18829
216,X,3416
217,1,1222
217,2,6896
217,3,39950
217,4,76047
217,5,67753
217,6,34559
217,X,5881
218,1,1335
218,2,13531
218,3,72849
218,4,100549
218,5,53156
218,6,17107
218,X,2201
219,1,1464
219,2,3689
219,3,26696
219,4,70585
219,5,81682
219,6,52629
219,X,9832
220,1,2958
220,2,16670
220,3,66071
220,4,91626
220,5,61083
220,6,24760
220,X,3324
221,1,1712
221,2,10350
221,3,64214
221,4,108522
221,5,70864
221,6,30224
221,X,5122
222,1,2700
222,2,29355
222,3,93971
222,4,106329
222,5,60824
222,6,23161
222,X,3540
223,1,1782
223,2,10444
223,3,49261
223,4,86241
223,5,78158
223,6,49927
223,X,11187
224,1,2361
224,2,21013
224,3,88149
224,4,104714
224,5,60111
224,6,22626
224,X,3398
225,1,1181
225,2,5248
225,3,50105
225,4,112368
225,5,77528
225,6,33998
225,X,4773
226,1,4693
226,2,34032
226,3,83696
226,4,89189
226,5,62633
226,6,40022
226,X,14792
227,1,2503
227,2,43402
227,3,116612
227,4,102410
227,5,52333
227,6,19614
227,X,3347
228,1,9864
228,2,44695
228,3,111230
228,4,99985
228,5,55046
228,6,23100
228,X,4252
229,1,2295
229,2,23220
229,3,75003
229,4,98566
229,5,85163
229,6,49204
229,X,11789
230,1,2461
230,2,34752
230,3,97236
230,4,108130
230,5,67574
230,6,31288
230,X,6374
231,1,1616
231,2,13301
231,3,68456
231,4,109910
231,5,75994
231,6,33850
231,X,5469
232,1,2168
232,2,8375
232,3,50850
232,4,100297
232,5,82091
232,6,47670
232,X,9103
233,1,1686
233,2,8515
233,3,37216
233,4,68207
233,5,83343
233,6,66009
233,X,13106
234,1,3271
234,2,31266
234,3,66120
234,4,78938
234,5,78159
234,6,55678
234,X,10279
235,1,2409
235,2,13563
235,3,63936
235,4,101142
235,5,74500
235,6,33598
235,X,4918
236,1,3864
236,2,23119
236,3,76551
236,4,95297
236,5,62533
236,6,28439
236,X,4328
237,1,3056
237,2,9650
237,3,47681
237,4,82082
237,5,76390
237,6,44761
237,X,8098
238,1,2873
238,2,17795
238,3,60980
238,4,90060
238,5,62615
238,6,24923
238,X,2598
239,1,2065
239,2,16057
239,3,77342
239,4,91508
239,5,56078
239,6,22185
239,X,2791
240,1,1471
240,2,4148
240,3,27406
240,4,82895
240,5,85296
240,6,43513
240,X,7314
241,1,2027
241,2,16327
241,3,71052
241,4,91456
241,5,60707
241,6,31724
241,X,5189
242,1,2078
242,2,11796
242,3,55669
242,4,86760
242,5,71356
242,6,41562
242,X,8918
243,1,4081
243,2,19561
243,3,51497
243,4,74751
243,5,78848
243,6,69198
243,X,30038
244,1,2126
244,2,7562
244,3,38940
244,4,73388
244,5,70421
244,6,47315
244,X,16388
245,1,1565
245,2,3043
245,3,21230
245,4,52883
245,5,84315
245,6,81700
245,X,27053
246,1,1335
246,2,10054
246,3,56430
246,4,85201
246,5,67170
246,6,36080
246,X,6583
247,1,3278
247,2,24716
247,3,69709
247,4,82043
247,5,57325
247,6,28238
247,X,5382
248,1,2343
248,2,42255
248,3,114694
248,4,91387
248,5,35833
248,6,11458
248,X,1415
249,1,1516
249,2,12214
249,3,44214
249,4,64606
249,5,66313
249,6,57687
249,X,21841
250,1,1443
250,2,13730
250,3,52190
250,4,78486
250,5,61751
250,6,30151
250,X,5040
251,1,1709
251,2,4479
251,3,24778
251,4,71129
251,5,82495
251,6,52949
251,X,9402
252,1,1323
252,2,12040
252,3,63336
252,4,81967
252,5,52722
252,6,24897
252,X,4830
253,1,1394
253,2,23042
253,3,79513
253,4,80824
253,5,40011
253,6,15866
253,X,2509
254,1,2606
254,2,19867
254,3,74379
254,4,87127
254,5,43717
254,6,14320
254,X,1710
255,1,1292
255,2,5153
255,3,38768
255,4,81666
255,5,69070
255,6,30780
255,X,4766
256,1,2225
256,2,17897
256,3,64966
256,4,77325
256,5,53211
256,6,27870
256,X,5741
257,1,1636
257,2,17939
257,3,68524
257,4,78266
257,5,45173
257,6,18579
257,X,2700
258,1,1270
258,2,8902
258,3,40238
258,4,69258
258,5,51575
258,6,23090
258,X,3226
259,1,1263
259,2,20385
259,3,55966
259,4,64921
259,5,48377
259,6,26428
259,X,5815
260,1,1188
260,2,16738
260,3,69915
260,4,72451
260,5,35962
260,6,14200
260,X,2062
261,1,1190
261,2,18223
261,3,62922
261,4,73123
261,5,40148
261,6,14954
261,X,1849
262,1,1407
262,2,9816
262,3,36712
262,4,62688
262,5,56383
262,6,30313
262,X,4550
263,1,1203
263,2,10624
263,3,51616
263,4,72207
263,5,43438
263,6,15089
263,X,1787
264,1,848
264,2,16323
264,3,63219
264,4,69590
264,5,37867
264,6,13769
264,X,1743
265,1,2559
265,2,12737
265,3,31318
265,4,38718
265,5,37348
265,6,51221
265,X,43629
266,1,2068
266,2,13404
266,3,53470
266,4,65450
266,5,36871
266,6,13457
266,X,1747
267,1,1306
267,2,7362
267,3,40174
267,4,62898
267,5,42499
267,6,17721
267,X,2346
268,1,746
268,2,9183
268,3,33882
268,4,58635
268,5,49718
268,6,23937
268,X,3744
269,1,1178
269,2,30566
269,3,63070
269,4,58321
269,5,30552
269,6,11474
269,X,1709
270,1,1324
270,2,15623
270,3,40202
270,4,45930
270,5,39422
270,6,37508
270,X,30650
271,1,1778
271,2,7959
271,3,30276
271,4,49403
271,5,43515
271,6,25923
271,X,5442
272,1,1195
272,2,13508
272,3,54883
272,4,59941
272,5,32432
272,6,11039
272,X,1524
273,1,690
273,2,7150
273,3,31811
273,4,48381
273,5,38873
273,6,21164
273,X,3943
274,1,539
274,2,6260
274,3,30457
274,4,50116
274,5,40529
274,6,19969
274,X,3063
275,1,2530
275,2,24029
275,3,61851
275,4,51231
275,5,22129
275,6,6817
275,X,740
276,1,506
276,2,3724
276,3,29632
276,4,56733
276,5,42590
276,6,19445
276,X,3057
277,1,749
277,2,6736
277,3,32822
277,4,53629
277,5,39777
277,6,16433
277,X,2390
278,1,1249
278,2,22629
278,3,56817
278,4,50972
278,5,23364
278,6,8209
278,X,1092
279,1,637
279,2,7947
279,3,42539
279,4,53284
279,5,29451
279,6,10748
279,X,1353
280,1,631
280,2,2943
280,3,18853
280,4,44568
280,5,47299
280,6,25911
280,X,3850
281,1,811
281,2,3169
281,3,29006
281,4,69736
281,5,40860
281,6,13783
281,X,2149
282,1,1578
282,2,9924
282,3,28332
282,4,36211
282,5,33903
282,6,34185
282,X,22698
283,1,453
283,2,4806
283,3,24742
283,4,43697
283,5,40600
283,6,24432
283,X,5889
284,1,681
284,2,7488
284,3,24904
284,4,37329
284,5,41427
284,6,32657
284,X,8751
285,1,512
285,2,2011
285,3,12090
285,4,33966
285,5,41613
285,6,30994
285,X,10392
286,1,908
286,2,6127
286,3,26218
286,4,37219
286,5,36821
286,6,25659
286,X,6879
287,1,1096
287,2,24750
287,3,49938
287,4,42283
287,5,21980
287,6,8870
287,X,1735
288,1,366
288,2,2662
288,3,12087
288,4,28610
288,5,38871
288,6,30891
288,X,7396
289,1,395
289,2,4360
289,3,20297
289,4,39640
289,5,38297
289,6,19781
289,X,3256
290,1,328
290,2,2196
290,3,16351
290,4,37752
290,5,38221
290,6,19596
290,X,3374
291,1,348
291,2,1706
291,3,14322
291,4,37577
291,5,37251
291,6,19812
291,X,3357
292,1,266
292,2,2381
292,3,15471
292,4,35248
292,5,35720
292,6,21206
292,X,4097
293,1,1553
293,2,16784
293,3,31403
293,4,35404
293,5,28517
293,6,18182
293,X,5051
294,1,1974
294,2,27296
294,3,46917
294,4,34583
294,5,14072
294,6,4739
294,X,1060
295,1,1199
295,2,11710
295,3,37780
295,4,41667
295,5,21688
295,6,7623
295,X,1040
296,1,460
296,2,3497
296,3,21178
296,4,34889
296,5,28998
296,6,15375
296,X,2278
297,1,742
297,2,5763
297,3,27099
297,4,40841
297,5,25889
297,6,10285
297,X,1211
298,1,622
298,2,5294
298,3,35079
298,4,50194
298,5,21961
298,6,5964
298,X,679
299,1,439
299,2,6214
299,3,25922
299,4,38398
299,5,26697
299,6,11026
299,X,1529
300,1,1560
300,2,14242
300,3,28396
300,4,31663
300,5,26047
300,6,18283
300,X,5484
301,1,318
301,2,2914
301,3,20361
301,4,42613
301,5,28866
301,6,9044
301,X,922
302,1,383
302,2,4193
302,3,20981
302,4,35980
302,5,27870
302,6,11822
302,X,1980
303,1,564
303,2,8658
303,3,32950
303,4,39296
303,5,20150
303,6,6776
303,X,870
304,1,301
304,2,2044
304,3,10954
304,4,19531
304,5,20207
304,6,24459
304,X,27195
305,1,351
305,2,4498
305,3,19586
305,4,33935
305,5,27132
305,6,11950
305,X,1745
306,1,260
306,2,1526
306,3,10620
306,4,28088
306,5,31445
306,6,19515
306,X,3525
307,1,1961
307,2,22227
307,3,45247
307,4,31946
307,5,11247
307,6,3057
307,X,319
308,1,675
308,2,6001
308,3,23269
308,4,31435
308,5,21461
308,6,9043
308,X,1146
309,1,284
309,2,6538
309,3,25571
309,4,32533
309,5,20386
309,6,8085
309,X,1100
310,1,247
310,2,2358
310,3,11227
310,4,25884
310,5,28732
310,6,17058
310,X,3191
311,1,934
311,2,12609
311,3,31616
311,4,31468
311,5,16190
311,6,6232
311,X,1168
312,1,276
312,2,6046
312,3,25037
312,4,35106
312,5,21237
312,6,7596
312,X,905
313,1,363
313,2,2006
313,3,10015
313,4,22995
313,5,26007
313,6,18802
313,X,6087
314,1,2219
314,2,19741
314,3,34743
314,4,28041
314,5,13830
314,6,4448
314,X,548
315,1,149
315,2,1680
315,3,7554
315,4,19291
315,5,26551
315,6,17414
315,X,3068
316,1,186
316,2,1003
316,3,6602
316,4,19873
316,5,27915
316,6,17120
316,X,2559
